year,office,county,party,candidate,electionType,votes
2002,senate,grady,democratic,max cleveland,primary,2219
2002,senate,grady,democratic,max cleland,general,2812
2002,senate,clay,libertarian,sandy thomas,general,14
2002,senate,clay,republican,robert (bob) brown,primary,5
2002,senate,clay,republican,bob irvin,primary,5
2002,senate,clay,republican,saxby chambliss,primary,20
2002,senate,clay,republican,saxby chambliss,general,268
2002,senate,clay,democratic,max cleveland,primary,387
2002,senate,clay,democratic,max cleland,general,611
2002,senate,chattooga,libertarian,sandy thomas,general,68
2002,senate,chattooga,republican,robert (bob) brown,primary,118
2002,senate,chattooga,republican,bob irvin,primary,174
2002,senate,chattooga,republican,saxby chambliss,primary,271
2002,senate,chattooga,republican,saxby chambliss,general,2277
2002,senate,chattooga,democratic,max cleveland,primary,1469
2002,senate,chattooga,democratic,max cleland,general,2161
2002,senate,miller,libertarian,sandy thomas,general,23
2002,senate,miller,republican,robert (bob) brown,primary,8
2002,senate,miller,republican,bob irvin,primary,11
2002,senate,miller,republican,saxby chambliss,primary,56
2002,senate,miller,republican,saxby chambliss,general,744
2002,senate,miller,democratic,max cleveland,primary,777
2002,senate,miller,democratic,max cleland,general,627
2002,senate,clinch,libertarian,sandy thomas,general,12
2002,senate,clinch,republican,robert (bob) brown,primary,8
2002,senate,clinch,republican,bob irvin,primary,8
2002,senate,clinch,republican,saxby chambliss,primary,133
2002,senate,clinch,republican,saxby chambliss,general,733
2002,senate,clinch,democratic,max cleveland,primary,362
2002,senate,clinch,democratic,max cleland,general,510
2002,senate,bacon,libertarian,sandy thomas,general,22
2002,senate,bacon,republican,robert (bob) brown,primary,23
2002,senate,bacon,republican,bob irvin,primary,11
2002,senate,bacon,republican,saxby chambliss,primary,237
2002,senate,bacon,republican,saxby chambliss,general,1536
2002,senate,bacon,democratic,max cleveland,primary,474
2002,senate,bacon,democratic,max cleland,general,920
2002,senate,upson,libertarian,sandy thomas,general,77
2002,senate,upson,republican,robert (bob) brown,primary,100
2002,senate,upson,republican,bob irvin,primary,144
2002,senate,upson,republican,saxby chambliss,primary,1303
2002,senate,upson,republican,saxby chambliss,general,3838
2002,senate,upson,democratic,max cleveland,primary,1298
2002,senate,upson,democratic,max cleland,general,2848
2002,senate,hart,libertarian,sandy thomas,general,86
2002,senate,hart,republican,robert (bob) brown,primary,240
2002,senate,hart,republican,bob irvin,primary,299
2002,senate,hart,republican,saxby chambliss,primary,475
2002,senate,hart,republican,saxby chambliss,general,2841
2002,senate,hart,democratic,max cleveland,primary,1184
2002,senate,hart,democratic,max cleland,general,3269
2002,senate,randolph,libertarian,sandy thomas,general,24
2002,senate,randolph,republican,robert (bob) brown,primary,1
2002,senate,randolph,republican,bob irvin,primary,7
2002,senate,randolph,republican,saxby chambliss,primary,34
2002,senate,randolph,republican,saxby chambliss,general,710
2002,senate,randolph,democratic,max cleveland,primary,1390
2002,senate,randolph,democratic,max cleland,general,1397
2002,senate,jackson,libertarian,sandy thomas,general,132
2002,senate,jackson,republican,robert (bob) brown,primary,462
2002,senate,jackson,republican,bob irvin,primary,1174
2002,senate,jackson,republican,saxby chambliss,primary,1842
2002,senate,jackson,republican,saxby chambliss,general,6026
2002,senate,jackson,democratic,max cleveland,primary,916
2002,senate,jackson,democratic,max cleland,general,2939
2002,senate,haralson,libertarian,sandy thomas,general,131
2002,senate,haralson,republican,robert (bob) brown,primary,213
2002,senate,haralson,republican,bob irvin,primary,493
2002,senate,haralson,republican,saxby chambliss,primary,784
2002,senate,haralson,republican,saxby chambliss,general,4055
2002,senate,haralson,democratic,max cleveland,primary,1456
2002,senate,haralson,democratic,max cleland,general,3001
2002,senate,rockdale,libertarian,sandy thomas,general,314
2002,senate,rockdale,republican,robert (bob) brown,primary,571
2002,senate,rockdale,republican,bob irvin,primary,2042
2002,senate,rockdale,republican,saxby chambliss,primary,3504
2002,senate,rockdale,republican,saxby chambliss,general,11422
2002,senate,rockdale,democratic,max cleveland,primary,2687
2002,senate,rockdale,democratic,max cleland,general,7690
2002,senate,calhoun,libertarian,sandy thomas,general,9
2002,senate,calhoun,republican,robert (bob) brown,primary,0
2002,senate,calhoun,republican,bob irvin,primary,5
2002,senate,calhoun,republican,saxby chambliss,primary,61
2002,senate,calhoun,republican,saxby chambliss,general,538
2002,senate,calhoun,democratic,max cleveland,primary,823
2002,senate,calhoun,democratic,max cleland,general,919
2002,senate,douglas,libertarian,sandy thomas,general,331
2002,senate,douglas,republican,robert (bob) brown,primary,984
2002,senate,douglas,republican,bob irvin,primary,2820
2002,senate,douglas,republican,saxby chambliss,primary,4482
2002,senate,douglas,republican,saxby chambliss,general,13536
2002,senate,douglas,democratic,max cleveland,primary,3202
2002,senate,douglas,democratic,max cleland,general,9306
2002,senate,richmond,libertarian,sandy thomas,general,505
2002,senate,richmond,republican,robert (bob) brown,primary,1125
2002,senate,richmond,republican,bob irvin,primary,2151
2002,senate,richmond,republican,saxby chambliss,primary,4760
2002,senate,richmond,republican,saxby chambliss,general,19275
2002,senate,richmond,democratic,max cleveland,primary,10594
2002,senate,richmond,democratic,max cleland,general,27929
2002,senate,cobb,libertarian,sandy thomas,general,2791
2002,senate,cobb,republican,robert (bob) brown,primary,4741
2002,senate,cobb,republican,bob irvin,primary,14971
2002,senate,cobb,republican,saxby chambliss,primary,32632
2002,senate,cobb,republican,saxby chambliss,general,105750
2002,senate,cobb,democratic,max cleveland,primary,18695
2002,senate,cobb,democratic,max cleland,general,69082
2002,senate,berrien,libertarian,sandy thomas,general,57
2002,senate,berrien,republican,robert (bob) brown,primary,17
2002,senate,berrien,republican,bob irvin,primary,24
2002,senate,berrien,republican,saxby chambliss,primary,303
2002,senate,berrien,republican,saxby chambliss,general,1976
2002,senate,berrien,democratic,max cleveland,primary,1293
2002,senate,berrien,democratic,max cleland,general,1574
2002,senate,troup,libertarian,sandy thomas,general,126
2002,senate,troup,republican,robert (bob) brown,primary,683
2002,senate,troup,republican,bob irvin,primary,1116
2002,senate,troup,republican,saxby chambliss,primary,1933
2002,senate,troup,republican,saxby chambliss,general,7369
2002,senate,troup,democratic,max cleveland,primary,1913
2002,senate,troup,democratic,max cleland,general,5295
2002,senate,glascock,libertarian,sandy thomas,general,5
2002,senate,glascock,republican,robert (bob) brown,primary,34
2002,senate,glascock,republican,bob irvin,primary,63
2002,senate,glascock,republican,saxby chambliss,primary,67
2002,senate,glascock,republican,saxby chambliss,general,426
2002,senate,glascock,democratic,max cleveland,primary,64
2002,senate,glascock,democratic,max cleland,general,231
2002,senate,burke,libertarian,sandy thomas,general,67
2002,senate,burke,republican,robert (bob) brown,primary,206
2002,senate,burke,republican,bob irvin,primary,309
2002,senate,burke,republican,saxby chambliss,primary,701
2002,senate,burke,republican,saxby chambliss,general,2576
2002,senate,burke,democratic,max cleveland,primary,1041
2002,senate,burke,democratic,max cleland,general,3014
2002,senate,treutlen,libertarian,sandy thomas,general,15
2002,senate,treutlen,republican,robert (bob) brown,primary,8
2002,senate,treutlen,republican,bob irvin,primary,18
2002,senate,treutlen,republican,saxby chambliss,primary,254
2002,senate,treutlen,republican,saxby chambliss,general,842
2002,senate,treutlen,democratic,max cleveland,primary,490
2002,senate,treutlen,democratic,max cleland,general,726
2002,senate,lamar,libertarian,sandy thomas,general,59
2002,senate,lamar,republican,robert (bob) brown,primary,88
2002,senate,lamar,republican,bob irvin,primary,154
2002,senate,lamar,republican,saxby chambliss,primary,1065
2002,senate,lamar,republican,saxby chambliss,general,2309
2002,senate,lamar,democratic,max cleveland,primary,1316
2002,senate,lamar,democratic,max cleland,general,1989
2002,senate,lee,libertarian,sandy thomas,general,56
2002,senate,lee,republican,robert (bob) brown,primary,78
2002,senate,lee,republican,bob irvin,primary,217
2002,senate,lee,republican,saxby chambliss,primary,1928
2002,senate,lee,republican,saxby chambliss,general,4281
2002,senate,lee,democratic,max cleveland,primary,1190
2002,senate,lee,democratic,max cleland,general,1982
2002,senate,mcintosh,libertarian,sandy thomas,general,53
2002,senate,mcintosh,republican,robert (bob) brown,primary,71
2002,senate,mcintosh,republican,bob irvin,primary,58
2002,senate,mcintosh,republican,saxby chambliss,primary,167
2002,senate,mcintosh,republican,saxby chambliss,general,1305
2002,senate,mcintosh,democratic,max cleveland,primary,1720
2002,senate,mcintosh,democratic,max cleland,general,1934
2002,senate,bibb,libertarian,sandy thomas,general,288
2002,senate,bibb,republican,robert (bob) brown,primary,243
2002,senate,bibb,republican,bob irvin,primary,350
2002,senate,bibb,republican,saxby chambliss,primary,8207
2002,senate,bibb,republican,saxby chambliss,general,19151
2002,senate,bibb,democratic,max cleveland,primary,9652
2002,senate,bibb,democratic,max cleland,general,20356
